CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,MODEM(S)_y,DIAS_ANTIGUEDAD,DIAS_ATENCION,ont_id,rx_avg
29851,2025-09-15,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 20MB,SIN SEÑAL EN NINGUN SERVICIO,JE NIVEL DEL RUIDO BAJO REQIERE VISITA,2025-09-16,1501274,ACTIVO,VIRREY,XPONDD4C76E2,AC,BASINT20,2017-06-01,XPONDD4C76E2,3028.0,1,29851,-30.28279980192272
42922,2025-09-15,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 50MB,LO CLIENTA COMENTA QUE  NO TIENE SERVICIO DESDE HACE DOS DIAS,JE FUERA DE LINEA REQUIERE VISITA,2025-09-17,1501143,ACTIVO,VIRREY,XPONDD3E6679,AC,BASINT50,,XPONDD3E6679,,2,42922,-27.429681825754553
4038,2025-09-15,MODEM DAÑADO/PERDIDO (COBRO),BASICO TV + INTERNET FIBRA 20MB,HERMANO DE TIT ACEPTA CARGO EN 2 PARTES PIDE DAVID PLAGA,nan,2025-09-15,5555555,ACTIVO,PEDREGAL,HWTCAF3ACECE,AC,BASINT20,,HWTCAF3ACECE,,0,4038,-20.03436845520194
42435,2025-09-15,CAMBIO DE ACOMETIDA,INTERNET FIBRA 50MB,SIN COSTO CLIENTE ENTERADO DEL POSTE AL MODEM PIDE CARLOS,nan,2025-09-15,1500036,ACTIVO,MADERO,485754439A99C458,AC,INT50,,485754439A99C458,,0,42435,-19.501255760368668
4365,2025-09-15,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),nan,JE MANDO A CC,2025-09-16,1501274,ACTIVO,MADERO,HWTCAFAB409F,AC,BASINTF250,,HWTCAFAB409F,,1,4365,-20.37556282365767
14485,2025-09-15,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 30MB,LOS ROJO,JE FUERA DE LINEA REQUIERE VISITA,2025-09-18,1500285,ACTIVO,MIL CUMBRES,XPONDD43845B,AC,BASINT30,2015-10-03,XPONDD43845B,3635.0,3,14485,-25.25364837068266
43548,2025-09-15,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 50MB,LOS ROJO,JE MANDO A CC,2025-09-16,1501274,ACTIVO,MADERO,XPONDD45A322,AC,INT50,2023-04-10,XPONDD45A322,889.0,1,43548,-20.333499836841245
38497,2025-09-15,CAMBIO DE ACOMETIDA,INTERNET FIBRA 30MB,TEC SOLICITA,nan,2025-09-15,1500036,ACTIVO,MADERO,4857544377DA1CA9,AC,INT30,2021-02-06,4857544377DA1CA9,1682.0,0,38497,-21.12921374441186
36927,2025-09-15,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 20MB,nan,JE FUERA DE LINEA REQUIERE VISITA,2025-09-19,1500039,CORTADO,PEDREGAL,48575443B5F751A9,CO,INT20,,48575443B5F751A9,,4,36927,-23.48174016703341
31539,2025-09-15,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 250MB ($399),EL CLIENTE AUMENTO SUS MEGAS PERO AUN ASI COMENTA QUE SU SERVICIO HA SIDO MUY LENTO,JE VISITA PARA CHECAR EN DOMICILIO,2025-09-16,1501274,ACTIVO,BELO,HWTCAFAB6A63,AC,BASINTF250,,HWTCAFAB6A63,,1,31539,-24.18370936478907
25382,2025-09-15,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 20MB,FOCO ROJO,JE FUERA DE LINEA REQUIERE VISITA,2025-09-18,1500036,ACTIVO,PRADOS VERDES,48575443D04DAE5B,AC,INT20,,48575443D04DAE5B,,3,25382,-23.78835343784359
23872,2025-09-15,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TELECABLE (NO VIGENTE),CLIENTE COMENTA QUE ESTA SIN BUEN SERVICIO DESDE HACE DOS SEMANAS,JE MANDO A CC,2025-09-16,1501274,ACTIVO,PRADOS VERDES,nan,nan,nan,,nan,,1,nan,
45369,2025-09-15,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 20MB,CLIENTE COMENTA QUE EN OCACONES NO TIENE VOZ LA TV,JE VISITA PARA CHECAR EN DOMICILIO,2025-09-16,1501274,ACTIVO,PRADOS VERDES,XPONDD6F05CB,AC,BASINT20,2025-11-06,XPONDD6F05CB,-52.0,1,45369,-24.64845588950426
31322,2025-09-15,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 20MB,FUERA DE LINEA,nan,2025-09-16,1501274,ACTIVO,MADERO,48575443D67C299D,AC,INT20,2018-10-05,48575443D67C299D,2537.0,1,31322,-21.79576910914811
42931,2025-09-15,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 50MB,nan,JE FUERA DE LINEA REQUIERE VISITA,2025-09-19,1500285,BAJA,BELO,nan,BA,INT50,2023-02-06,nan,952.0,4,nan,
347295,2025-09-15,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 10MB (NO VIGENTE),REQUIERE VISITA,nan,2025-09-18,1500036,ACTIVO,MADERO,XPONDD52D6E4,AC,BASINT10,,XPONDD52D6E4,,3,347295,-24.294631517792393
20656,2025-09-15,CAMBIO DE ACOMETIDA,INTERNET FIBRA 30MB,TIT ENTERADO DE CAMBIO DE ACOMETIDA SIN COSTO DEL MODEM AL POSTE SOLICITA TEC CARLOS,nan,2025-09-18,1500036,ACTIVO,PRADOS VERDES,BTPTDD1FFED2,AC,INT30,2018-03-09,BTPTDD1FFED2,2747.0,3,20656,-19.007749365342274
344210,2025-09-15,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 100MB,SERVICIO DE TV NO TIENE SERVICIO,JE FUERA DE LINEA REQUIERE VISITA,2025-09-17,1500039,ACTIVO,PEDREGAL,XPONDD2AC8E9,AC,BASINT100,,XPONDD2AC8E9,,2,344210,-19.01123877528052
20656,2025-09-16,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 30MB,FUERA DE LINEA REQUIERE VISITA TECNICA,nan,2025-09-18,1500036,ACTIVO,PRADOS VERDES,BTPTDD1FFED2,AC,INT30,2018-03-09,BTPTDD1FFED2,2748.0,2,20656,-19.007749365342274
45662,2025-09-16,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,JE MANDO A CC,2025-09-18,1500036,ACTIVO,ATAPANEO,XPON1DE0044A,AC,BASINTF250,,XPON1DE0044A,,2,45662,-22.834052605282142
343435,2025-09-16,CAMBIO DE ACOMETIDA,BASICO TV + INTERNET FIBRA 50MB,TIT ENTERADO SIN COSTO PIDE JESUS AU,nan,2025-09-16,1501274,ACTIVO,PERIODISMO,XPONDD3FBB2F,AC,BASINT50,2023-05-08,XPONDD3FBB2F,862.0,0,343435,-26.882571095571606
45109,2025-09-16,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 20MB,MUY LENTO,nan,2025-09-18,1500036,ACTIVO,MADERO,XPONDD52F7C4,AC,INT20,2025-08-03,XPONDD52F7C4,44.0,2,45109,-20.88852361368184
