CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,MODEM(S)_y,DIAS_ANTIGUEDAD,DIAS_ATENCION,ont_id,rx_avg
828,2026-02-22,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),AMBOS SERVICIOS,"ER, FUERA DE LINEA",2026-02-24,1500285,ACTIVO,VIRREY,XPON2E1B63DF,AC,BASINTF250,,XPON2E1B63DF,,2,828,-28.27747276688453
38798,2026-02-22,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,PON PARPADEA,"ER, SE MANDA CONFIRMAR",2026-02-26,1500039,ACTIVO,PEDREGAL,XPONDD5CB9C6,AC,INT20,2021-09-07,XPONDD5CB9C6,1629.0,4,38798,-27.730075642965087
42052,2026-02-22,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 75MB,SEÑAL INTERMITENTE,nan,2026-02-24,1500285,ACTIVO,VIRREY,XPONDD314538,AC,BASINT30,2022-08-12,XPONDD314538,1290.0,2,42052,-22.07017113095227
46334,2026-02-22,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 120MB,SEÑAL INTERMITENTE,nan,2026-02-24,1500047,ACTIVO,MADERO,XPONDD41EE13,AC,INT50,2026-08-01,XPONDD41EE13,-160.0,2,46334,-25.504251262626248
36609,2026-02-22,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 250MB ($399),PIDE VISITA POR FALLAS CONSTANTES,nan,2026-02-24,1500039,ACTIVO,PERIODISMO,CDTCAFA3BBE2,AC,BASINTF250,,CDTCAFA3BBE2,,2,36609,-23.104232690935202
32228,2026-02-23,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,JV SE ATENDIO CON EL TECNICO,2026-02-26,1501451,ACTIVO,VIRREY,48575443A5458A9B,AC,INT30,2017-03-10,48575443A5458A9B,3272.0,3,32228,-28.428775297618955
40980,2026-02-23,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,FUERA DE LINEA,nan,2026-02-24,1500285,ACTIVO,VIRREY,48575443B6C5BCA9,AC,INT30,,48575443B6C5BCA9,,1,40980,-25.874869047619118
45083,2026-02-23,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 120MB,DEMACIADA INTERFERENCIAS,nan,2026-02-24,1500047,ACTIVO,MADERO,XPON1D968D47,AC,INT50,,XPON1D968D47,,1,45083,-26.501227272727363
21253,2026-02-23,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,nan,2026-02-25,1500047,ACTIVO,PRADOS VERDES,XPONDD41F603,AC,INT20,2024-10-05,XPONDD41F603,506.0,2,21253,-24.08557554874937
334937,2026-02-23,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 75MB,LOS ROJO AMBOS SERVICIOS,nan,2026-02-24,1500047,ACTIVO,PRADOS VERDES,XPONDD2BDADE,AC,BASINT30,2014-11-03,XPONDD2BDADE,4130.0,1,334937,-24.931929555895874
344318,2026-02-23,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO SIN SEÑAL EN AMBOS SERVICIOS,nan,2026-02-24,1500047,ACTIVO,MADERO,HWTCAFAB418F,AC,BASINTF250,,HWTCAFAB418F,,1,344318,-28.90867731048805
2821,2026-02-23,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,nan,2026-02-24,1500039,ACTIVO,PEDREGAL,485754430695749A,AC,INT30,2022-05-05,485754430695749A,1390.0,1,2821,-30.02278240040331
346700,2026-02-23,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 60MB,SIN SEÑAL,nan,2026-02-24,1500039,ACTIVO,PEDREGAL,XPONDD4C53FA,AC,INT20,2016-08-01,XPONDD4C53FA,3493.0,1,346700,-34.23364725163885
44014,2026-02-23,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 120MB,LOS ROJO,nan,2026-02-24,1500285,ACTIVO,VIRREY,OPTI3387876D,AC,INT50,,OPTI3387876D,,1,44014,-26.189566964285913
