CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,MODEM(S)_y,DIAS_ANTIGUEDAD,DIAS_ATENCION,ont_id,rx_avg,serial_number,ont_model,software_version,description
44552,2026-02-18,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,SOLO PRENDE PWR,nan,2026-02-19,1500039,ACTIVO,PERIODISMO,48575443562B949A,AC,INT20,2024-12-08,48575443562B949A,437.0,1,44552,-24.75194147037834,48575443562B949A,HG8546M,V3R017C10S125,2341
29210,2026-02-18,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 45MB (NO VIGENTE),LOS ROJO,nan,2026-02-19,1500047,ACTIVO,PRADOS VERDES,XPONDD47C2B2,AC,INT10,,XPONDD47C2B2,,1,29210,-31.09786830357144,58504F4EDD47C2B2,MN-WIFI2,V1.7.1,6508
42904,2026-02-18,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 60MB,NIVEL BAJO REQUIERE VISITA TIT COMENTA QUE LA ULTIMA VEZ QUE PASO EL TECNICO AL DOMICILIO LE COMENTO QUE LA CAJA DEL POSTE ESTA MUY VIEJA,nan,2026-02-24,1500047,ACTIVO,VIRREY,XPONDD3E5BA9,AC,BASINT20,2023-02-06,XPONDD3E5BA9,1108.0,6,42904,-31.02834226190481,58504F4EDD3E5BA9,MN-CATV2,V1.7.1,31799
42874,2026-02-18,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 120MB,SIN SEÑAL AMBOS SERVICIOS,nan,2026-02-19,1500039,ACTIVO,PEDREGAL,XPONDD3E5AF1,AC,BASINT50,2023-02-06,XPONDD3E5AF1,1108.0,1,42874,-19.167670196671697,58504F4EDD3E5AF1,MN-CATV2,V1.7.1,36311
343435,2026-02-18,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 120MB,LOS ROJO AMBOS SERVICIOS,nan,2026-02-19,1500039,ACTIVO,PERIODISMO,XPONDD3FBB2F,AC,BASINT50,2023-05-08,XPONDD3FBB2F,1017.0,1,343435,-29.586607780157106,58504F4EDD3FBB2F,MN-CATV2,V1.7.1,46464_M
37062,2026-02-18,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,LOS ROJO,nan,2026-02-19,1500039,ACTIVO,PERIODISMO,"6CB0CE5C0298, XPONDD3C2FC0",AC,BASINT20,,"6CB0CE5C0298, XPONDD3C2FC0",,1,37062,-25.043493589743555,58504F4EDD3C2FC0,MN-CATV2,V1R007C00S001,32868
333773,2026-02-18,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,nan,2026-02-24,1500285,BAJA,VIRREY,nan,BA,INT30,2025-04-12,nan,312.0,6,nan,,48575443AF912091,MONUV411,V2.4.12,46450
39008,2026-02-18,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 75MB,LOS ROJO,nan,2026-02-19,1500039,ACTIVO,PERIODISMO,BTPTDD271162,AC,BASINT30,,BTPTDD271162,,1,39008,-27.1104800142756,42545054DD271162,BT-213XR,V1.2.6,46450
44974,2026-02-18,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,nan,2026-02-24,1501451,ACTIVO,VIRREY,XPONDD4C6002,AC,INT30,,XPONDD4C6002,,6,44974,-27.114315476190242,58504F4EDD4C6002,MN-WIFI2,V1.7.1,3347
42991,2026-02-18,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,nan,2026-02-19,1500374,ACTIVO,VIRREY,XPONDD41E9A3,AC,INT20,,XPONDD41E9A3,,1,42991,-21.682145833333312,58504F4EDD41E9A3,MN-WIFI2,V1.7.1,34864
