CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,DIAS_ANTIGUEDAD,DIAS_ATENCION,RX_AVG,SERIAL_NUMBER,ONT_MODEL,SOFTWARE_VERSION,PROBABILIDAD_RIESGO,PREDICCION_ABANDONO
34918,2026-03-23,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 75MB,AMBOS SERVIICIOS,"ER, FUERA DE LINEA",2026-03-24,1500039,ACTIVO,PERIODISMO,XPONDD2C3576,AC,BASINT30,,,1.0,-28.58207137978133,58504F4EDD2C3576,BT-213XR,V1.2.16SP,0.076272234,0
9896,2026-03-23,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,"ER, SE REVISA CON EL TECNICO",2026-03-24,1500039,ACTIVO,PERIODISMO,CDTCAFA3BBD6,AC,BASINTF250,2014-11-09,4152.0,1.0,-29.579844603825286,43445443AFA3BBD6,FD712GD-R850,V1.7.1,0.076272234,0
35542,2026-03-23,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,"ER, VARIAS DESCONEXIONES",2026-03-24,1500047,ACTIVO,PRADOS VERDES,XPONDD28CF80,AC,INT30,2019-12-06,2299.0,1.0,-26.168896543209893,58504F4EDD28CF80,BT-213XR,V1.2.11,0.076272234,0
46685,2026-03-24,EQUIPO DA?ADO,BASICO TV + INTERNET FIBRA 250MB ($399),CIENTE ENTERADO CAMBIO DE EQUIPO SIN COSTO  JORGE,"T|T OCUPABA ONU CON 4 SALIDAS DE UTP, MODEM ANTERIOR SOLO TENIA CON 2 SALIDAS POR ESO SE HIZO EL CAMBIO",2026-03-24,1500046,ACTIVO,PEDREGAL,HWTC1DD88C10,AC,BASINTF250,,,0.0,-20.13785226077813,485754431DD88C10,CNA-ONU-4GE2WXCA,V1.7.1,0.076272234,0
372,2026-03-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO SIN SEÑAL EN AMBOS SERVICIOS,nan,2026-03-25,1500047,ACTIVO,MADERO,XPONDD919C86,AC,BASINTF250,,,1.0,-25.145187654321038,58504F4EDD919C86,MN-CATVDUALM,V1R007C00S001,0.0838841,0
372,2026-03-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO SIN SEÑAL EN AMBOS SERVICIOS,nan,2026-03-25,1500047,ACTIVO,MADERO,XPONDD919C86,AC,BASINTF250,,,1.0,-25.145187654321038,58504F4EDD919C86,MN-CATVDUALM,V1R007C00S001,0.0838841,0
8257,2026-03-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),nan,"GT, TUVO DESCONEXION",2026-03-25,1500374,ACTIVO,VIRREY,XPONDD91A2C6,AC,BASINTF250,2016-12-02,3399.0,1.0,-23.080653775322393,58504F4EDD91A2C6,MN-CATVDUALM,V1R007C00S001,0.076272234,0
40860,2026-03-24,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 75MB,NO SABE CUALES FOCOS LE PRENDE,"ER, FUERA DE LINEA",2026-03-26,1500039,ACTIVO,PERIODISMO,48575443D95A9BA9,AC,INT30,,,2.0,-40.0,48575443D95A9BA9,HG8546M,V3R017C10S125,0.076272234,0
37954,2026-03-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,NIVEL BAJO,"GT, NIVEL BAJO",2026-03-26,1500374,ACTIVO,VISTA BELLA,485754432B0D3629,AC,INT30,,,2.0,-27.260154743784902,485754432B0D3629,546M,V3R017C10S125,0.076272234,0
42181,2026-03-24,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 60MB,|| EDWIN ||,PIDE VISITA POR FALLAS CONSTANTES,2026-03-29,5555555,ACTIVO,MADERO,OPTI37B00065,AC,INT20,2023-11-01,874.0,5.0,-20.868579506172875,4F50544937B00065,IGD,0,0.0838841,0
